;id;org:resource;concept:name;time:timestamp;org:role;case:Permit travel permit number;case:Task;case:OrganizationalEntity;case:RequestedAmount;case:Activity;case:Permit TaskNumber;case:Permit BudgetNumber;case:Permit ProjectNumber;case:Project;case:concept:name;case:Permit OrganizationalEntity;case:Permit RequestedBudget;case:Cost Type;case:Permit id;case:Permit ActivityNumber;case:RfpNumber;object:name;action:name;action:status;org:actor:name;org:actor:name:a
10;rp_request for payment 73552_15;SYSTEM;Request Payment;2017-01-23 14:43:35+01:00;UNDEFINED;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73552;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73553; payment; request;;;, SYSTEM
11;rp_request for payment 73552_16;SYSTEM;Payment Handled;2017-01-26 17:30:47+01:00;UNDEFINED;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73552;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73553; payment; handled;;;, SYSTEM
12;st_step 73556_0;STAFF MEMBER;Permit REJECTED by MISSING;2017-07-28 10:10:18+02:00;MISSING;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73552;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73553; permit; rejected;; missing;, STAFF MEMBER
13;st_step 76320_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-10 11:19:16+01:00;EMPLOYEE;travel permit number 76315;UNKNOWN;organizational unit 65463;1173.9577945793626;UNKNOWN;UNKNOWN;budget 2233;UNKNOWN;project 503;request for payment 76316;organizational unit 65455;3553.601972780773;0;travel permit 76314;UNKNOWN;request for payment number 76317; permit, employee; submitted;; employee;, STAFF MEMBER
14;st_step 76322_0;STAFF MEMBER;Permit APPROVED by SUPERVISOR;2017-01-10 11:19:23+01:00;SUPERVISOR;travel permit number 76315;UNKNOWN;organizational unit 65463;1173.9577945793626;UNKNOWN;UNKNOWN;budget 2233;UNKNOWN;project 503;request for payment 76316;organizational unit 65455;3553.601972780773;0;travel permit 76314;UNKNOWN;request for payment number 76317; permit; approved;; supervisor, supervisor;, STAFF MEMBER
15;st_step 76321_0;STAFF MEMBER;Permit FINAL_APPROVED by DIRECTOR;2017-01-10 14:56:18+01:00;DIRECTOR;travel permit number 76315;UNKNOWN;organizational unit 65463;1173.9577945793626;UNKNOWN;UNKNOWN;budget 2233;UNKNOWN;project 503;request for payment 76316;organizational unit 65455;3553.601972780773;0;travel permit 76314;UNKNOWN;request for payment number 76317; permit; approved; final; director, director;, STAFF MEMBER
16;st_step 76323_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-30 12:37:40+01:00;EMPLOYEE;travel permit number 76315;UNKNOWN;organizational unit 65463;1173.9577945793626;UNKNOWN;UNKNOWN;budget 2233;UNKNOWN;project 503;request for payment 76316;organizational unit 65455;3553.601972780773;0;travel permit 76314;UNKNOWN;request for payment number 76317; request for payment, employee; submitted;; employee;, STAFF MEMBER
17;st_step 76324_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-30 12:40:57+01:00;SUPERVISOR;travel permit number 76315;UNKNOWN;organizational unit 65463;1173.9577945793626;UNKNOWN;UNKNOWN;budget 2233;UNKNOWN;project 503;request for payment 76316;organizational unit 65455;3553.601972780773;0;travel permit 76314;UNKNOWN;request for payment number 76317; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
18;rp_request for payment 76316_15;SYSTEM;Request Payment;2017-02-01 10:40:00+01:00;UNDEFINED;travel permit number 76315;UNKNOWN;organizational unit 65463;1173.9577945793626;UNKNOWN;UNKNOWN;budget 2233;UNKNOWN;project 503;request for payment 76316;organizational unit 65455;3553.601972780773;0;travel permit 76314;UNKNOWN;request for payment number 76317; payment; request;;;, SYSTEM
19;rp_request for payment 76316_16;SYSTEM;Payment Handled;2017-02-06 17:31:45+01:00;UNDEFINED;travel permit number 76315;UNKNOWN;organizational unit 65463;1173.9577945793626;UNKNOWN;UNKNOWN;budget 2233;UNKNOWN;project 503;request for payment 76316;organizational unit 65455;3553.601972780773;0;travel permit 76314;UNKNOWN;request for payment number 76317; payment; handled;;;, SYSTEM
20;st_step 73541_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-10 11:34:01+01:00;EMPLOYEE;UNKNOWN;task 11190;organizational unit 65463;790.5520731899097;activity 505;task 427;budget 899;project 2260;project 503;request for payment 73536;organizational unit 65455;3627.3644383882497;0;travel permit 73535;UNKNOWN;request for payment number 73537; permit, employee; submitted;; employee;, STAFF MEMBER
21;st_step 73540_0;STAFF MEMBER;Permit APPROVED by SUPERVISOR;2017-01-10 11:34:09+01:00;SUPERVISOR;UNKNOWN;task 11190;organizational unit 65463;790.5520731899097;activity 505;task 427;budget 899;project 2260;project 503;request for payment 73536;organizational unit 65455;3627.3644383882497;0;travel permit 73535;UNKNOWN;request for payment number 73537; permit; approved;; supervisor, supervisor;, STAFF MEMBER
22;st_step 73538_0;STAFF MEMBER;Permit FINAL_APPROVED by DIRECTOR;2017-01-12 10:56:40+01:00;DIRECTOR;UNKNOWN;task 11190;organizational unit 65463;790.5520731899097;activity 505;task 427;budget 899;project 2260;project 503;request for payment 73536;organizational unit 65455;3627.3644383882497;0;travel permit 73535;UNKNOWN;request for payment number 73537; permit; approved; final; director, director;, STAFF MEMBER
23;st_step 73542_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-13 11:23:25+01:00;EMPLOYEE;UNKNOWN;task 11190;organizational unit 65463;790.5520731899097;activity 505;task 427;budget 899;project 2260;project 503;request for payment 73536;organizational unit 65455;3627.3644383882497;0;travel permit 73535;UNKNOWN;request for payment number 73537; request for payment, employee; submitted;; employee;, STAFF MEMBER
24;st_step 73543_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-13 11:24:18+01:00;SUPERVISOR;UNKNOWN;task 11190;organizational unit 65463;790.5520731899097;activity 505;task 427;budget 899;project 2260;project 503;request for payment 73536;organizational unit 65455;3627.3644383882497;0;travel permit 73535;UNKNOWN;request for payment number 73537; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
25;rp_request for payment 73536_15;SYSTEM;Request Payment;2017-01-18 11:02:30+01:00;UNDEFINED;UNKNOWN;task 11190;organizational unit 65463;790.5520731899097;activity 505;task 427;budget 899;project 2260;project 503;request for payment 73536;organizational unit 65455;3627.3644383882497;0;travel permit 73535;UNKNOWN;request for payment number 73537; payment; request;;;, SYSTEM
26;rp_request for payment 73536_16;SYSTEM;Payment Handled;2017-01-23 17:32:19+01:00;UNDEFINED;UNKNOWN;task 11190;organizational unit 65463;790.5520731899097;activity 505;task 427;budget 899;project 2260;project 503;request for payment 73536;organizational unit 65455;3627.3644383882497;0;travel permit 73535;UNKNOWN;request for payment number 73537; payment; handled;;;, SYSTEM
27;st_step 73539_0;STAFF MEMBER;Permit REJECTED by MISSING;2017-02-24 12:50:45+01:00;MISSING;UNKNOWN;task 11190;organizational unit 65463;790.5520731899097;activity 505;task 427;budget 899;project 2260;project 503;request for payment 73536;organizational unit 65455;3627.3644383882497;0;travel permit 73535;UNKNOWN;request for payment number 73537; permit; rejected;; missing;, STAFF MEMBER
28;st_step 185376_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-10 17:10:10+01:00;EMPLOYEE;travel permit number 424;task 47027;organizational unit 65457;456.43343612267864;activity 505;task 427;budget 425;project 426;project 503;request for payment 185372;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185373; request for payment, employee; submitted;; employee;, STAFF MEMBER
29;st_step 185374_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-10 17:15:32+01:00;SUPERVISOR;travel permit number 424;task 47027;organizational unit 65457;456.43343612267864;activity 505;task 427;budget 425;project 426;project 503;request for payment 185372;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185373; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
30;st_step 185375_0;STAFF MEMBER;Request For Payment REJECTED by MISSING;2017-01-20 10:12:42+01:00;MISSING;travel permit number 424;task 47027;organizational unit 65457;456.43343612267864;activity 505;task 427;budget 425;project 426;project 503;request for payment 185372;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185373; request for payment; rejected;; missing;, STAFF MEMBER
31;st_step 76200_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-11 12:36:23+01:00;EMPLOYEE;travel permit number 76194;UNKNOWN;organizational unit 65463;181.97800255250306;UNKNOWN;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76195;organizational unit 65455;265.66131759489497;0;travel permit 76193;UNKNOWN;request for payment number 76196; permit, employee; submitted;; employee;, STAFF MEMBER
32;st_step 76199_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2017-01-11 12:36:25+01:00;SUPERVISOR;travel permit number 76194;UNKNOWN;organizational unit 65463;181.97800255250306;UNKNOWN;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76195;organizational unit 65455;265.66131759489497;0;travel permit 76193;UNKNOWN;request for payment number 76196; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
33;st_step 76202_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-17 17:19:43+01:00;EMPLOYEE;travel permit number 76194;UNKNOWN;organizational unit 65463;181.97800255250306;UNKNOWN;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76195;organizational unit 65455;265.66131759489497;0;travel permit 76193;UNKNOWN;request for payment number 76196; request for payment, employee; submitted;; employee;, STAFF MEMBER
34;st_step 76201_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-17 17:19:57+01:00;SUPERVISOR;travel permit number 76194;UNKNOWN;organizational unit 65463;181.97800255250306;UNKNOWN;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76195;organizational unit 65455;265.66131759489497;0;travel permit 76193;UNKNOWN;request for payment number 76196; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
35;rp_request for payment 76195_15;SYSTEM;Request Payment;2017-01-23 10:27:26+01:00;UNDEFINED;travel permit number 76194;UNKNOWN;organizational unit 65463;181.97800255250306;UNKNOWN;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76195;organizational unit 65455;265.66131759489497;0;travel permit 76193;UNKNOWN;request for payment number 76196; payment; request;;;, SYSTEM
36;rp_request for payment 76195_16;SYSTEM;Payment Handled;2017-01-26 17:30:47+01:00;UNDEFINED;travel permit number 76194;UNKNOWN;organizational unit 65463;181.97800255250306;UNKNOWN;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76195;organizational unit 65455;265.66131759489497;0;travel permit 76193;UNKNOWN;request for payment number 76196; payment; handled;;;, SYSTEM
37;st_step 77112_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-11 13:48:46+01:00;EMPLOYEE;travel permit number 77106;task 77109;organizational unit 65463;472.17588042774963;activity 505;UNKNOWN;budget 1370;UNKNOWN;project 503;request for payment 77107;organizational unit 65455;1770.659551604061;0;travel permit 77105;UNKNOWN;request for payment number 77108; permit, employee; submitted;; employee;, STAFF MEMBER
38;st_step 77113_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2017-01-11 13:48:57+01:00;SUPERVISOR;travel permit number 77106;task 77109;organizational unit 65463;472.17588042774963;activity 505;UNKNOWN;budget 1370;UNKNOWN;project 503;request for payment 77107;organizational unit 65455;1770.659551604061;0;travel permit 77105;UNKNOWN;request for payment number 77108; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
39;st_step 77116_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-04-06 15:53:45+02:00;EMPLOYEE;travel permit number 77106;task 77109;organizational unit 65463;472.17588042774963;activity 505;UNKNOWN;budget 1370;UNKNOWN;project 503;request for payment 77107;organizational unit 65455;1770.659551604061;0;travel permit 77105;UNKNOWN;request for payment number 77108; request for payment, employee; submitted;; employee;, STAFF MEMBER
40;st_step 77114_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-04-06 16:19:05+02:00;PRE_APPROVER;travel permit number 77106;task 77109;organizational unit 65463;472.17588042774963;activity 505;UNKNOWN;budget 1370;UNKNOWN;project 503;request for payment 77107;organizational unit 65455;1770.659551604061;0;travel permit 77105;UNKNOWN;request for payment number 77108; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
41;st_step 77115_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-04-11 17:25:08+02:00;SUPERVISOR;travel permit number 77106;task 77109;organizational unit 65463;472.17588042774963;activity 505;UNKNOWN;budget 1370;UNKNOWN;project 503;request for payment 77107;organizational unit 65455;1770.659551604061;0;travel permit 77105;UNKNOWN;request for payment number 77108; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
42;rp_request for payment 77107_15;SYSTEM;Request Payment;2017-04-19 12:01:05+02:00;UNDEFINED;travel permit number 77106;task 77109;organizational unit 65463;472.17588042774963;activity 505;UNKNOWN;budget 1370;UNKNOWN;project 503;request for payment 77107;organizational unit 65455;1770.659551604061;0;travel permit 77105;UNKNOWN;request for payment number 77108; payment; request;;;, SYSTEM
43;rp_request for payment 77107_16;SYSTEM;Payment Handled;2017-04-24 17:31:11+02:00;UNDEFINED;travel permit number 77106;task 77109;organizational unit 65463;472.17588042774963;activity 505;UNKNOWN;budget 1370;UNKNOWN;project 503;request for payment 77107;organizational unit 65455;1770.659551604061;0;travel permit 77105;UNKNOWN;request for payment number 77108; payment; handled;;;, SYSTEM
44;st_step 185393_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-11 14:20:06+01:00;EMPLOYEE;travel permit number 424;task 55559;organizational unit 65458;910.2885759853303;activity 505;task 427;budget 425;project 426;project 503;request for payment 185391;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185392; request for payment, employee; submitted;; employee;, STAFF MEMBER
45;st_step 185394_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-11 14:20:52+01:00;SUPERVISOR;travel permit number 424;task 55559;organizational unit 65458;910.2885759853303;activity 505;task 427;budget 425;project 426;project 503;request for payment 185391;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185392; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
46;rp_request for payment 185391_15;SYSTEM;Request Payment;2017-01-25 11:31:55+01:00;UNDEFINED;travel permit number 424;task 55559;organizational unit 65458;910.2885759853303;activity 505;task 427;budget 425;project 426;project 503;request for payment 185391;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185392; payment; request;;;, SYSTEM
47;rp_request for payment 185391_16;SYSTEM;Payment Handled;2017-01-30 17:31:40+01:00;UNDEFINED;travel permit number 424;task 55559;organizational unit 65458;910.2885759853303;activity 505;task 427;budget 425;project 426;project 503;request for payment 185391;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185392; payment; handled;;;, SYSTEM
48;st_step 76218_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-11 17:25:24+01:00;EMPLOYEE;travel permit number 76210;task 11190;organizational unit 65463;1381.5991022684657;activity 505;task 427;budget 899;project 2260;project 503;request for payment 76211;organizational unit 65455;3093.928491566448;0;travel permit 76209;UNKNOWN;request for payment number 76212; permit, employee; submitted;; employee;, STAFF MEMBER
49;st_step 76219_0;STAFF MEMBER;Permit APPROVED by SUPERVISOR;2017-01-11 17:25:37+01:00;SUPERVISOR;travel permit number 76210;task 11190;organizational unit 65463;1381.5991022684657;activity 505;task 427;budget 899;project 2260;project 503;request for payment 76211;organizational unit 65455;3093.928491566448;0;travel permit 76209;UNKNOWN;request for payment number 76212; permit; approved;; supervisor, supervisor;, STAFF MEMBER
50;st_step 76217_0;STAFF MEMBER;Permit FINAL_APPROVED by DIRECTOR;2017-01-12 10:56:40+01:00;DIRECTOR;travel permit number 76210;task 11190;organizational unit 65463;1381.5991022684657;activity 505;task 427;budget 899;project 2260;project 503;request for payment 76211;organizational unit 65455;3093.928491566448;0;travel permit 76209;UNKNOWN;request for payment number 76212; permit; approved; final; director, director;, STAFF MEMBER
51;st_step 76222_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-03-27 15:44:15+02:00;EMPLOYEE;travel permit number 76210;task 11190;organizational unit 65463;1381.5991022684657;activity 505;task 427;budget 899;project 2260;project 503;request for payment 76211;organizational unit 65455;3093.928491566448;0;travel permit 76209;UNKNOWN;request for payment number 76212; request for payment, employee; submitted;; employee;, STAFF MEMBER
52;st_step 76220_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-03-27 15:44:23+02:00;PRE_APPROVER;travel permit number 76210;task 11190;organizational unit 65463;1381.5991022684657;activity 505;task 427;budget 899;project 2260;project 503;request for payment 76211;organizational unit 65455;3093.928491566448;0;travel permit 76209;UNKNOWN;request for payment number 76212; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
53;st_step 76221_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-03-29 10:29:46+02:00;SUPERVISOR;travel permit number 76210;task 11190;organizational unit 65463;1381.5991022684657;activity 505;task 427;budget 899;project 2260;project 503;request for payment 76211;organizational unit 65455;3093.928491566448;0;travel permit 76209;UNKNOWN;request for payment number 76212; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
54;rp_request for payment 76211_15;SYSTEM;Request Payment;2017-04-03 15:15:36+02:00;UNDEFINED;travel permit number 76210;task 11190;organizational unit 65463;1381.5991022684657;activity 505;task 427;budget 899;project 2260;project 503;request for payment 76211;organizational unit 65455;3093.928491566448;0;travel permit 76209;UNKNOWN;request for payment number 76212; payment; request;;;, SYSTEM
55;rp_request for payment 76211_16;SYSTEM;Payment Handled;2017-04-06 17:31:01+02:00;UNDEFINED;travel permit number 76210;task 11190;organizational unit 65463;1381.5991022684657;activity 505;task 427;budget 899;project 2260;project 503;request for payment 76211;organizational unit 65455;3093.928491566448;0;travel permit 76209;UNKNOWN;request for payment number 76212; payment; handled;;;, SYSTEM
56;st_step 76942_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-31 14:38:55+01:00;EMPLOYEE;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; permit, employee; submitted;; employee;, STAFF MEMBER
57;st_step 76940_0;STAFF MEMBER;Permit APPROVED by PRE_APPROVER;2017-01-31 14:40:27+01:00;PRE_APPROVER;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; permit, pre; approved, approver;; pre approver;, STAFF MEMBER
58;st_step 76941_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2017-02-01 15:52:50+01:00;SUPERVISOR;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
59;st_step 76946_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-02-09 16:48:30+01:00;EMPLOYEE;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; request for payment, employee; submitted;; employee;, STAFF MEMBER
60;st_step 76947_0;STAFF MEMBER;Request For Payment REJECTED by PRE_APPROVER;2017-02-09 16:48:32+01:00;PRE_APPROVER;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; request for payment, pre; rejected, approver;; pre approver;, STAFF MEMBER
61;st_step 76948_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-02-13 16:12:00+01:00;EMPLOYEE;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; request for payment, employee; rejected;; employee;, STAFF MEMBER
62;st_step 76944_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-03-01 18:28:35+01:00;EMPLOYEE;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; request for payment, employee; submitted;; employee;, STAFF MEMBER
63;st_step 76943_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-03-01 18:29:42+01:00;PRE_APPROVER;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
64;st_step 76945_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-03-02 08:57:39+01:00;SUPERVISOR;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
65;rp_request for payment 76930_15;SYSTEM;Request Payment;2017-03-08 15:37:12+01:00;UNDEFINED;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; payment; request;;;, SYSTEM
66;rp_request for payment 76930_16;SYSTEM;Payment Handled;2017-03-13 17:31:05+01:00;UNDEFINED;travel permit number 76929;task 6280;organizational unit 65457;206.21379524969205;activity 505;UNKNOWN;budget 4164;UNKNOWN;project 503;request for payment 76930;organizational unit 65455;1511.5147295788945;0;travel permit 76928;UNKNOWN;request for payment number 76931; payment; handled;;;, SYSTEM
