;id;org:resource;concept:name;time:timestamp;org:role;case:OrganizationalEntity;case:ProjectNumber;case:TaskNumber;case:dec_id_0;case:ActivityNumber;case:TotalDeclared;case:concept:name;case:RequestedAmount_0;case:Overspent;case:travel permit number;case:DeclarationNumber_0;case:RequestedBudget;case:BudgetNumber;case:OverspentAmount;case:RfpNumber_0;case:OrganizationalEntity_0;case:Rfp_id_0;case:Cost Type_0;case:dec_id_1;case:Activity_0;case:Task_0;case:Project_0;case:DeclarationNumber_1;case:RequestedAmount_1;case:Activity_1;case:dec_id_2;case:RfpNumber_1;case:OrganizationalEntity_1;case:Cost Type_1;case:Task_1;case:Rfp_id_1;case:Project_1;case:DeclarationNumber_2;case:RequestedAmount_2;case:dec_id_3;case:dec_id_4;case:DeclarationNumber_4;case:RequestedAmount_4;case:RequestedAmount_3;case:DeclarationNumber_3;case:Activity_2;case:Cost Type_2;case:RfpNumber_2;case:OrganizationalEntity_2;case:Project_2;case:Rfp_id_2;case:Task_2;case:Activity_3;case:Cost Type_3;case:RfpNumber_3;case:OrganizationalEntity_3;case:Project_3;case:Rfp_id_3;case:Task_3;case:RequestedAmount_9;case:dec_id_5;case:dec_id_6;case:dec_id_9;case:dec_id_7;case:dec_id_8;case:DeclarationNumber_8;case:DeclarationNumber_9;case:DeclarationNumber_5;case:DeclarationNumber_6;case:DeclarationNumber_7;case:RequestedAmount_8;case:RequestedAmount_6;case:RequestedAmount_5;object:name;action:name;action:status;org:actor:name;org:actor:name:a
10;rv_travel permit 72815_6;STAFF MEMBER;Start trip;2017-01-16 00:00:00+01:00;EMPLOYEE;organizational unit 65458;project 54409;task 427;declaration 72817;UNKNOWN;614.0805294164306;travel permit 72815;655;False;travel permit number 72816;declaration number 72818;1015.9786071612517;budget 974;-300.00880826451566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; start;;;, STAFF MEMBER
11;rv_travel permit 72815_7;STAFF MEMBER;End trip;2017-01-19 00:00:00+01:00;EMPLOYEE;organizational unit 65458;project 54409;task 427;declaration 72817;UNKNOWN;614.0805294164306;travel permit 72815;655;False;travel permit number 72816;declaration number 72818;1015.9786071612517;budget 974;-300.00880826451566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; end;;;, STAFF MEMBER
12;st_step 72823_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-30 13:56:18+01:00;EMPLOYEE;organizational unit 65458;project 54409;task 427;declaration 72817;UNKNOWN;614.0805294164306;travel permit 72815;655;False;travel permit number 72816;declaration number 72818;1015.9786071612517;budget 974;-300.00880826451566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration, employee; submitted;; employee;, STAFF MEMBER
13;st_step 72821_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-01-30 14:28:33+01:00;PRE_APPROVER;organizational unit 65458;project 54409;task 427;declaration 72817;UNKNOWN;614.0805294164306;travel permit 72815;655;False;travel permit number 72816;declaration number 72818;1015.9786071612517;budget 974;-300.00880826451566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
14;st_step 72822_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-31 09:20:13+01:00;SUPERVISOR;organizational unit 65458;project 54409;task 427;declaration 72817;UNKNOWN;614.0805294164306;travel permit 72815;655;False;travel permit number 72816;declaration number 72818;1015.9786071612517;budget 974;-300.00880826451566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
15;fd_declaration 72817_17;SYSTEM;Request Payment;2017-02-01 13:24:51+01:00;UNDEFINED;organizational unit 65458;project 54409;task 427;declaration 72817;UNKNOWN;614.0805294164306;travel permit 72815;655;False;travel permit number 72816;declaration number 72818;1015.9786071612517;budget 974;-300.00880826451566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; request;;;, SYSTEM
16;fd_declaration 72817_18;SYSTEM;Payment Handled;2017-02-06 17:31:44+01:00;UNDEFINED;organizational unit 65458;project 54409;task 427;declaration 72817;UNKNOWN;614.0805294164306;travel permit 72815;655;False;travel permit number 72816;declaration number 72818;1015.9786071612517;budget 974;-300.00880826451566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; handled;;;, SYSTEM
17;st_step 76320_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-10 11:19:16+01:00;EMPLOYEE;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit, employee; submitted;; employee;, STAFF MEMBER
18;st_step 76322_0;STAFF MEMBER;Permit APPROVED by SUPERVISOR;2017-01-10 11:19:23+01:00;SUPERVISOR;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit; approved;; supervisor, supervisor;, STAFF MEMBER
19;st_step 76321_0;STAFF MEMBER;Permit FINAL_APPROVED by DIRECTOR;2017-01-10 14:56:18+01:00;DIRECTOR;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit; approved; final; director, director;, STAFF MEMBER
20;st_step 76323_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-30 12:37:40+01:00;EMPLOYEE;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; request for payment, employee; submitted;; employee;, STAFF MEMBER
21;st_step 76324_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-30 12:40:57+01:00;SUPERVISOR;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
22;rp_request for payment 76316_15;SYSTEM;Request Payment;2017-02-01 10:40:00+01:00;UNDEFINED;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; request;;;, SYSTEM
23;rp_request for payment 76316_16;SYSTEM;Payment Handled;2017-02-06 17:31:45+01:00;UNDEFINED;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; handled;;;, SYSTEM
24;rv_travel permit 76314_6;STAFF MEMBER;Start trip;2017-07-09 00:00:00+02:00;EMPLOYEE;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; start;;;, STAFF MEMBER
25;rv_travel permit 76314_7;STAFF MEMBER;End trip;2017-07-14 00:00:00+02:00;EMPLOYEE;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; end;;;, STAFF MEMBER
26;st_step 76326_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-07-17 09:13:09+02:00;EMPLOYEE;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration, employee; submitted;; employee;, STAFF MEMBER
27;st_step 76325_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-07-17 09:20:04+02:00;SUPERVISOR;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
28;fd_declaration 76318_17;SYSTEM;Request Payment;2017-07-17 16:08:27+02:00;UNDEFINED;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; request;;;, SYSTEM
29;fd_declaration 76318_18;SYSTEM;Payment Handled;2017-07-20 17:31:00+02:00;UNDEFINED;organizational unit 65455;UNKNOWN;UNKNOWN;;UNKNOWN;3370.9498035136;travel permit 76314;1173.9577945793626;True;travel permit number 76315;;3553.601972780773;budget 2233;1426.0117043350479;request for payment number 76317;organizational unit 65463;request for payment 76316;0.0;declaration 76318;UNKNOWN;UNKNOWN;project 503;declaration number 76319;1,913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; handled;;;, SYSTEM
30;st_step 73742_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-11 13:30:51+01:00;EMPLOYEE;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit, employee; submitted;; employee;, STAFF MEMBER
31;st_step 73743_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2017-01-11 13:30:57+01:00;SUPERVISOR;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
32;st_step 73744_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-04-06 16:05:59+02:00;EMPLOYEE;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; request for payment, employee; submitted;; employee;, STAFF MEMBER
33;st_step 73745_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-04-06 16:07:49+02:00;SUPERVISOR;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
34;rp_request for payment 73737_15;SYSTEM;Request Payment;2017-04-10 16:14:41+02:00;UNDEFINED;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; request;;;, SYSTEM
35;rp_request for payment 73737_16;SYSTEM;Payment Handled;2017-04-13 17:30:56+02:00;UNDEFINED;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; handled;;;, SYSTEM
36;rv_travel permit 73734_6;STAFF MEMBER;Start trip;2017-05-24 00:00:00+02:00;EMPLOYEE;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; start;;;, STAFF MEMBER
37;rv_travel permit 73734_7;STAFF MEMBER;End trip;2017-05-28 00:00:00+02:00;EMPLOYEE;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; end;;;, STAFF MEMBER
38;st_step 73747_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-06-15 14:33:50+02:00;EMPLOYEE;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration, employee; submitted;; employee;, STAFF MEMBER
39;st_step 73746_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-06-15 14:34:17+02:00;SUPERVISOR;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
40;fd_declaration 73740_17;SYSTEM;Request Payment;2017-06-20 16:58:10+02:00;UNDEFINED;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; request;;;, SYSTEM
41;fd_declaration 73740_18;SYSTEM;Payment Handled;2017-06-22 17:31:14+02:00;UNDEFINED;organizational unit 65458;project 73736;task 427;;UNKNOWN;1390.215336088307;travel permit 73734;1125.477064079303;False;travel permit number 73735;;2443.737895467727;budget 698;-1053.52255937942;request for payment number 73738;organizational unit 65458;request for payment 73737;0.0;declaration 73740;activity 505;task 73739;project 503;declaration number 73741;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; handled;;;, SYSTEM
42;st_step 73031_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-12 11:03:23+01:00;EMPLOYEE;organizational unit 65458;project 54119;task 427;declaration 73029;UNKNOWN;4197.653086949198;travel permit 73027;3,115;True;travel permit number 73028;declaration number 73030;1896.9706768305987;budget 2351;20.213417754169313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit, employee; submitted;; employee;, STAFF MEMBER
43;st_step 73033_0;STAFF MEMBER;Permit APPROVED by SUPERVISOR;2017-01-12 11:03:35+01:00;SUPERVISOR;organizational unit 65458;project 54119;task 427;declaration 73029;UNKNOWN;4197.653086949198;travel permit 73027;3,115;True;travel permit number 73028;declaration number 73030;1896.9706768305987;budget 2351;20.213417754169313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit; approved;; supervisor, supervisor;, STAFF MEMBER
44;st_step 73032_0;STAFF MEMBER;Permit FINAL_APPROVED by DIRECTOR;2017-01-16 15:22:57+01:00;DIRECTOR;organizational unit 65458;project 54119;task 427;declaration 73029;UNKNOWN;4197.653086949198;travel permit 73027;3,115;True;travel permit number 73028;declaration number 73030;1896.9706768305987;budget 2351;20.213417754169313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit; approved; final; director, director;, STAFF MEMBER
45;rv_travel permit 73027_6;STAFF MEMBER;Start trip;2017-07-07 00:00:00+02:00;EMPLOYEE;organizational unit 65458;project 54119;task 427;declaration 73029;UNKNOWN;4197.653086949198;travel permit 73027;3,115;True;travel permit number 73028;declaration number 73030;1896.9706768305987;budget 2351;20.213417754169313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; start;;;, STAFF MEMBER
46;rv_travel permit 73027_7;STAFF MEMBER;End trip;2017-07-16 00:00:00+02:00;EMPLOYEE;organizational unit 65458;project 54119;task 427;declaration 73029;UNKNOWN;4197.653086949198;travel permit 73027;3,115;True;travel permit number 73028;declaration number 73030;1896.9706768305987;budget 2351;20.213417754169313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; end;;;, STAFF MEMBER
47;st_step 73035_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-08-24 15:44:37+02:00;EMPLOYEE;organizational unit 65458;project 54119;task 427;declaration 73029;UNKNOWN;4197.653086949198;travel permit 73027;3,115;True;travel permit number 73028;declaration number 73030;1896.9706768305987;budget 2351;20.213417754169313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration, employee; submitted;; employee;, STAFF MEMBER
