;id;org:resource;concept:name;time:timestamp;org:role;case:Project;case:Task;case:concept:name;case:OrganizationalEntity;case:Cost Type;case:RequestedAmount;case:Activity;case:RfpNumber;object:name;action:name;action:status;org:actor:name;org:actor:name:a
10;rp_request for payment 149290_15;SYSTEM;Request Payment;2017-01-10 10:52:03+01:00;UNDEFINED;project 147843;UNKNOWN;request for payment 149290;organizational unit 65458;0;15.182427838036624;UNKNOWN;request for payment number 149291; payment; request;;;, SYSTEM
11;rp_request for payment 149290_16;SYSTEM;Payment Handled;2017-01-12 17:31:32+01:00;UNDEFINED;project 147843;UNKNOWN;request for payment 149290;organizational unit 65458;0;15.182427838036624;UNKNOWN;request for payment number 149291; payment; handled;;;, SYSTEM
12;st_step 149222_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-09 11:41:36+01:00;EMPLOYEE;project 147556;task 147557;request for payment 149216;organizational unit 65463;0;34.25224607843211;activity 505;request for payment number 149217; request for payment, employee; submitted;; employee;, STAFF MEMBER
13;st_step 149221_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2017-01-09 11:42:10+01:00;SUPERVISOR;project 147556;task 147557;request for payment 149216;organizational unit 65463;0;34.25224607843211;activity 505;request for payment number 149217; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
14;st_step 149220_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-01-09 15:56:52+01:00;EMPLOYEE;project 147556;task 147557;request for payment 149216;organizational unit 65463;0;34.25224607843211;activity 505;request for payment number 149217; request for payment, employee; rejected;; employee;, STAFF MEMBER
15;st_step 149219_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-10 10:02:52+01:00;EMPLOYEE;project 147556;task 147557;request for payment 149216;organizational unit 65463;0;34.25224607843211;activity 505;request for payment number 149217; request for payment, employee; submitted;; employee;, STAFF MEMBER
16;st_step 149218_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-10 10:03:15+01:00;SUPERVISOR;project 147556;task 147557;request for payment 149216;organizational unit 65463;0;34.25224607843211;activity 505;request for payment number 149217; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
17;rp_request for payment 149216_15;SYSTEM;Request Payment;2017-01-10 13:34:59+01:00;UNDEFINED;project 147556;task 147557;request for payment 149216;organizational unit 65463;0;34.25224607843211;activity 505;request for payment number 149217; payment; request;;;, SYSTEM
18;rp_request for payment 149216_16;SYSTEM;Payment Handled;2017-01-12 17:31:32+01:00;UNDEFINED;project 147556;task 147557;request for payment 149216;organizational unit 65463;0;34.25224607843211;activity 505;request for payment number 149217; payment; handled;;;, SYSTEM
19;st_step 148225_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-10 15:18:56+01:00;EMPLOYEE;project 147582;UNKNOWN;request for payment 148223;organizational unit 65463;0;31.715042665214916;UNKNOWN;request for payment number 148224; request for payment, employee; submitted;; employee;, STAFF MEMBER
20;st_step 148226_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-01-10 15:19:04+01:00;PRE_APPROVER;project 147582;UNKNOWN;request for payment 148223;organizational unit 65463;0;31.715042665214916;UNKNOWN;request for payment number 148224; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
21;st_step 148227_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-10 15:26:13+01:00;SUPERVISOR;project 147582;UNKNOWN;request for payment 148223;organizational unit 65463;0;31.715042665214916;UNKNOWN;request for payment number 148224; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
22;rp_request for payment 148223_15;SYSTEM;Request Payment;2017-01-10 15:30:50+01:00;UNDEFINED;project 147582;UNKNOWN;request for payment 148223;organizational unit 65463;0;31.715042665214916;UNKNOWN;request for payment number 148224; payment; request;;;, SYSTEM
23;rp_request for payment 148223_16;SYSTEM;Payment Handled;2017-01-12 17:31:32+01:00;UNDEFINED;project 147582;UNKNOWN;request for payment 148223;organizational unit 65463;0;31.715042665214916;UNKNOWN;request for payment number 148224; payment; handled;;;, SYSTEM
24;st_step 149911_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-12 14:52:53+01:00;EMPLOYEE;project 147620;UNKNOWN;request for payment 149908;organizational unit 65463;0;4205.867568279362;UNKNOWN;request for payment number 149909; request for payment, employee; submitted;; employee;, STAFF MEMBER
25;st_step 149910_0;STAFF MEMBER;Request For Payment APPROVED by SUPERVISOR;2017-01-12 14:53:16+01:00;SUPERVISOR;project 147620;UNKNOWN;request for payment 149908;organizational unit 65463;0;4205.867568279362;UNKNOWN;request for payment number 149909; request for payment; approved;; supervisor, supervisor;, STAFF MEMBER
26;st_step 149912_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by DIRECTOR;2017-01-17 10:47:38+01:00;DIRECTOR;project 147620;UNKNOWN;request for payment 149908;organizational unit 65463;0;4205.867568279362;UNKNOWN;request for payment number 149909; request for payment; approved; final; director, director;, STAFF MEMBER
27;rp_request for payment 149908_15;SYSTEM;Request Payment;2017-01-17 15:34:01+01:00;UNDEFINED;project 147620;UNKNOWN;request for payment 149908;organizational unit 65463;0;4205.867568279362;UNKNOWN;request for payment number 149909; payment; request;;;, SYSTEM
28;rp_request for payment 149908_16;SYSTEM;Payment Handled;2017-01-19 17:31:50+01:00;UNDEFINED;project 147620;UNKNOWN;request for payment 149908;organizational unit 65463;0;4205.867568279362;UNKNOWN;request for payment number 149909; payment; handled;;;, SYSTEM
29;st_step 149918_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-13 09:36:06+01:00;EMPLOYEE;project 147556;UNKNOWN;request for payment 149913;organizational unit 65463;0;112.586736524557;UNKNOWN;request for payment number 149914; request for payment, employee; submitted;; employee;, STAFF MEMBER
30;st_step 149919_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-13 09:36:18+01:00;SUPERVISOR;project 147556;UNKNOWN;request for payment 149913;organizational unit 65463;0;112.586736524557;UNKNOWN;request for payment number 149914; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
31;st_step 149917_0;STAFF MEMBER;Request For Payment REJECTED by MISSING;2017-01-16 09:52:47+01:00;MISSING;project 147556;UNKNOWN;request for payment 149913;organizational unit 65463;0;112.586736524557;UNKNOWN;request for payment number 149914; request for payment; rejected;; missing;, STAFF MEMBER
32;st_step 149915_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-16 10:08:48+01:00;EMPLOYEE;project 147556;UNKNOWN;request for payment 149913;organizational unit 65463;0;112.586736524557;UNKNOWN;request for payment number 149914; request for payment, employee; submitted;; employee;, STAFF MEMBER
33;st_step 149916_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-16 10:09:07+01:00;SUPERVISOR;project 147556;UNKNOWN;request for payment 149913;organizational unit 65463;0;112.586736524557;UNKNOWN;request for payment number 149914; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
34;rp_request for payment 149913_15;SYSTEM;Request Payment;2017-01-20 10:44:56+01:00;UNDEFINED;project 147556;UNKNOWN;request for payment 149913;organizational unit 65463;0;112.586736524557;UNKNOWN;request for payment number 149914; payment; request;;;, SYSTEM
35;rp_request for payment 149913_16;SYSTEM;Payment Handled;2017-01-23 17:32:19+01:00;UNDEFINED;project 147556;UNKNOWN;request for payment 149913;organizational unit 65463;0;112.586736524557;UNKNOWN;request for payment number 149914; payment; handled;;;, SYSTEM
36;st_step 148755_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-16 12:10:30+01:00;EMPLOYEE;project 503;task 74419;request for payment 148749;organizational unit 65463;0;3441.5162056141467;activity 505;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
37;st_step 148756_0;STAFF MEMBER;Request For Payment REJECTED by PRE_APPROVER;2017-02-06 15:56:17+01:00;PRE_APPROVER;project 503;task 74419;request for payment 148749;organizational unit 65463;0;3441.5162056141467;activity 505;UNKNOWN; request for payment, pre; rejected, approver;; pre approver;, STAFF MEMBER
38;st_step 148754_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-02-06 16:09:19+01:00;EMPLOYEE;project 503;task 74419;request for payment 148749;organizational unit 65463;0;3441.5162056141467;activity 505;UNKNOWN; request for payment, employee; rejected;; employee;, STAFF MEMBER
39;st_step 148752_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-02-06 16:38:33+01:00;EMPLOYEE;project 503;task 74419;request for payment 148749;organizational unit 65463;0;3441.5162056141467;activity 505;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
40;st_step 148753_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-02-06 16:38:37+01:00;PRE_APPROVER;project 503;task 74419;request for payment 148749;organizational unit 65463;0;3441.5162056141467;activity 505;UNKNOWN; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
41;st_step 148751_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-02-06 17:06:26+01:00;SUPERVISOR;project 503;task 74419;request for payment 148749;organizational unit 65463;0;3441.5162056141467;activity 505;UNKNOWN; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
42;st_step 148750_0;STAFF MEMBER;Request For Payment REJECTED by MISSING;2017-02-08 15:36:48+01:00;MISSING;project 503;task 74419;request for payment 148749;organizational unit 65463;0;3441.5162056141467;activity 505;UNKNOWN; request for payment; rejected;; missing;, STAFF MEMBER
43;st_step 149165_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-17 13:54:58+01:00;EMPLOYEE;project 503;UNKNOWN;request for payment 149163;organizational unit 65463;0;31.614353447309778;UNKNOWN;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
44;st_step 149164_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-17 13:57:08+01:00;SUPERVISOR;project 503;UNKNOWN;request for payment 149163;organizational unit 65463;0;31.614353447309778;UNKNOWN;UNKNOWN; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
45;st_step 149166_0;STAFF MEMBER;Request For Payment REJECTED by MISSING;2017-01-18 15:11:08+01:00;MISSING;project 503;UNKNOWN;request for payment 149163;organizational unit 65463;0;31.614353447309778;UNKNOWN;UNKNOWN; request for payment; rejected;; missing;, STAFF MEMBER
46;st_step 148163_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-02-01 17:30:44+01:00;EMPLOYEE;project 503;task 6280;request for payment 148157;organizational unit 65457;0;234.9930091971253;activity 505;request for payment number 148158; request for payment, employee; submitted;; employee;, STAFF MEMBER
47;st_step 148164_0;STAFF MEMBER;Request For Payment REJECTED by PRE_APPROVER;2017-02-01 17:32:04+01:00;PRE_APPROVER;project 503;task 6280;request for payment 148157;organizational unit 65457;0;234.9930091971253;activity 505;request for payment number 148158; request for payment, pre; rejected, approver;; pre approver;, STAFF MEMBER
48;st_step 148162_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-02-02 08:53:30+01:00;EMPLOYEE;project 503;task 6280;request for payment 148157;organizational unit 65457;0;234.9930091971253;activity 505;request for payment number 148158; request for payment, employee; rejected;; employee;, STAFF MEMBER
49;st_step 148161_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-02-02 09:26:58+01:00;EMPLOYEE;project 503;task 6280;request for payment 148157;organizational unit 65457;0;234.9930091971253;activity 505;request for payment number 148158; request for payment, employee; submitted;; employee;, STAFF MEMBER
50;st_step 148159_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-02-02 09:28:25+01:00;PRE_APPROVER;project 503;task 6280;request for payment 148157;organizational unit 65457;0;234.9930091971253;activity 505;request for payment number 148158; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
51;st_step 148160_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-02-02 09:34:15+01:00;SUPERVISOR;project 503;task 6280;request for payment 148157;organizational unit 65457;0;234.9930091971253;activity 505;request for payment number 148158; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
52;rp_request for payment 148157_15;SYSTEM;Request Payment;2017-02-09 10:23:59+01:00;UNDEFINED;project 503;task 6280;request for payment 148157;organizational unit 65457;0;234.9930091971253;activity 505;request for payment number 148158; payment; request;;;, SYSTEM
53;rp_request for payment 148157_16;SYSTEM;Payment Handled;2017-02-13 17:32:18+01:00;UNDEFINED;project 503;task 6280;request for payment 148157;organizational unit 65457;0;234.9930091971253;activity 505;request for payment number 148158; payment; handled;;;, SYSTEM
54;st_step 149666_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-02-02 17:54:36+01:00;EMPLOYEE;UNKNOWN;UNKNOWN;request for payment 149665;organizational unit 65458;0;243.60724470419046;UNKNOWN;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
55;st_step 149668_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2017-02-02 17:54:43+01:00;SUPERVISOR;UNKNOWN;UNKNOWN;request for payment 149665;organizational unit 65458;0;243.60724470419046;UNKNOWN;UNKNOWN; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
56;st_step 149667_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-02-06 13:44:07+01:00;EMPLOYEE;UNKNOWN;UNKNOWN;request for payment 149665;organizational unit 65458;0;243.60724470419046;UNKNOWN;UNKNOWN; request for payment, employee; rejected;; employee;, STAFF MEMBER
57;st_step 148237_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-02-09 13:44:50+01:00;EMPLOYEE;UNKNOWN;UNKNOWN;request for payment 148236;organizational unit 65463;0;124.53400623597396;UNKNOWN;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
58;st_step 148239_0;STAFF MEMBER;Request For Payment REJECTED by PRE_APPROVER;2017-02-09 13:45:21+01:00;PRE_APPROVER;UNKNOWN;UNKNOWN;request for payment 148236;organizational unit 65463;0;124.53400623597396;UNKNOWN;UNKNOWN; request for payment, pre; rejected, approver;; pre approver;, STAFF MEMBER
59;st_step 148238_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-02-14 08:17:18+01:00;EMPLOYEE;UNKNOWN;UNKNOWN;request for payment 148236;organizational unit 65463;0;124.53400623597396;UNKNOWN;UNKNOWN; request for payment, employee; rejected;; employee;, STAFF MEMBER
60;st_step 148168_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-02-09 14:00:10+01:00;EMPLOYEE;project 503;UNKNOWN;request for payment 148165;organizational unit 65463;0;23.477722487109844;UNKNOWN;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
61;st_step 148167_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-02-09 14:00:15+01:00;PRE_APPROVER;project 503;UNKNOWN;request for payment 148165;organizational unit 65463;0;23.477722487109844;UNKNOWN;UNKNOWN; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
62;st_step 148166_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-02-14 08:22:14+01:00;SUPERVISOR;project 503;UNKNOWN;request for payment 148165;organizational unit 65463;0;23.477722487109844;UNKNOWN;UNKNOWN; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
63;st_step 148169_0;STAFF MEMBER;Request For Payment REJECTED by MISSING;2017-02-21 13:29:00+01:00;MISSING;project 503;UNKNOWN;request for payment 148165;organizational unit 65463;0;23.477722487109844;UNKNOWN;UNKNOWN; request for payment; rejected;; missing;, STAFF MEMBER
64;st_step 148015_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-02-28 10:30:30+01:00;EMPLOYEE;UNKNOWN;task 68176;request for payment 148011;organizational unit 65463;0;13.105621604573315;activity 505;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
65;st_step 148017_0;STAFF MEMBER;Request For Payment REJECTED by PRE_APPROVER;2017-02-28 10:30:32+01:00;PRE_APPROVER;UNKNOWN;task 68176;request for payment 148011;organizational unit 65463;0;13.105621604573315;activity 505;UNKNOWN; request for payment, pre; rejected, approver;; pre approver;, STAFF MEMBER
66;st_step 148016_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-02-28 14:55:34+01:00;EMPLOYEE;UNKNOWN;task 68176;request for payment 148011;organizational unit 65463;0;13.105621604573315;activity 505;UNKNOWN; request for payment, employee; rejected;; employee;, STAFF MEMBER
67;st_step 148013_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-02-28 15:13:06+01:00;EMPLOYEE;UNKNOWN;task 68176;request for payment 148011;organizational unit 65463;0;13.105621604573315;activity 505;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
68;st_step 148012_0;STAFF MEMBER;Request For Payment REJECTED by PRE_APPROVER;2017-02-28 15:13:09+01:00;PRE_APPROVER;UNKNOWN;task 68176;request for payment 148011;organizational unit 65463;0;13.105621604573315;activity 505;UNKNOWN; request for payment, pre; rejected, approver;; pre approver;, STAFF MEMBER
69;st_step 148014_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-03-01 11:29:49+01:00;EMPLOYEE;UNKNOWN;task 68176;request for payment 148011;organizational unit 65463;0;13.105621604573315;activity 505;UNKNOWN; request for payment, employee; rejected;; employee;, STAFF MEMBER
70;st_step 148906_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-03-02 14:32:27+01:00;EMPLOYEE;project 503;task 1403;request for payment 148899;organizational unit 65463;0;458.59037945013574;activity 505;request for payment number 148900; request for payment, employee; submitted;; employee;, STAFF MEMBER
71;st_step 148905_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-03-02 14:37:08+01:00;PRE_APPROVER;project 503;task 1403;request for payment 148899;organizational unit 65463;0;458.59037945013574;activity 505;request for payment number 148900; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
72;st_step 148904_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-03-02 14:37:35+01:00;SUPERVISOR;project 503;task 1403;request for payment 148899;organizational unit 65463;0;458.59037945013574;activity 505;request for payment number 148900; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
73;st_step 148907_0;STAFF MEMBER;Request For Payment REJECTED by MISSING;2017-03-08 11:19:25+01:00;MISSING;project 503;task 1403;request for payment 148899;organizational unit 65463;0;458.59037945013574;activity 505;request for payment number 148900; request for payment; rejected;; missing;, STAFF MEMBER
74;st_step 148903_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-03-08 12:13:44+01:00;EMPLOYEE;project 503;task 1403;request for payment 148899;organizational unit 65463;0;458.59037945013574;activity 505;request for payment number 148900; request for payment, employee; submitted;; employee;, STAFF MEMBER
75;st_step 148902_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-03-08 12:13:48+01:00;PRE_APPROVER;project 503;task 1403;request for payment 148899;organizational unit 65463;0;458.59037945013574;activity 505;request for payment number 148900; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
76;st_step 148901_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-03-08 12:15:09+01:00;SUPERVISOR;project 503;task 1403;request for payment 148899;organizational unit 65463;0;458.59037945013574;activity 505;request for payment number 148900; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
77;rp_request for payment 148899_15;SYSTEM;Request Payment;2017-03-09 09:05:07+01:00;UNDEFINED;project 503;task 1403;request for payment 148899;organizational unit 65463;0;458.59037945013574;activity 505;request for payment number 148900; payment; request;;;, SYSTEM
78;rp_request for payment 148899_16;SYSTEM;Payment Handled;2017-03-13 17:31:05+01:00;UNDEFINED;project 503;task 1403;request for payment 148899;organizational unit 65463;0;458.59037945013574;activity 505;request for payment number 148900; payment; handled;;;, SYSTEM
79;st_step 148523_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-03-10 14:55:04+01:00;EMPLOYEE;UNKNOWN;UNKNOWN;request for payment 148519;organizational unit 65482;0;1068.3528962156136;UNKNOWN;request for payment number 148520; request for payment, employee; submitted;; employee;, STAFF MEMBER
80;st_step 148522_0;STAFF MEMBER;Request For Payment APPROVED by SUPERVISOR;2017-03-10 15:17:10+01:00;SUPERVISOR;UNKNOWN;UNKNOWN;request for payment 148519;organizational unit 65482;0;1068.3528962156136;UNKNOWN;request for payment number 148520; request for payment; approved;; supervisor, supervisor;, STAFF MEMBER
81;st_step 148521_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by DIRECTOR;2017-03-13 09:15:06+01:00;DIRECTOR;UNKNOWN;UNKNOWN;request for payment 148519;organizational unit 65482;0;1068.3528962156136;UNKNOWN;request for payment number 148520; request for payment; approved; final; director, director;, STAFF MEMBER
82;st_step 149081_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-03-16 08:47:49+01:00;EMPLOYEE;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; request for payment, employee; submitted;; employee;, STAFF MEMBER
83;st_step 149080_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2017-03-16 08:51:55+01:00;SUPERVISOR;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
84;st_step 149082_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-03-16 09:00:28+01:00;EMPLOYEE;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; request for payment, employee; rejected;; employee;, STAFF MEMBER
85;st_step 149078_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-03-16 09:04:42+01:00;EMPLOYEE;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; request for payment, employee; submitted;; employee;, STAFF MEMBER
86;st_step 149077_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2017-03-16 09:04:44+01:00;SUPERVISOR;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
87;st_step 149079_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2017-03-17 13:50:13+01:00;EMPLOYEE;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; request for payment, employee; rejected;; employee;, STAFF MEMBER
88;st_step 149075_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-03-18 11:25:28+01:00;EMPLOYEE;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; request for payment, employee; submitted;; employee;, STAFF MEMBER
89;st_step 149076_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-03-18 11:25:44+01:00;SUPERVISOR;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
90;rp_request for payment 149073_15;SYSTEM;Request Payment;2017-03-21 14:58:19+01:00;UNDEFINED;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; payment; request;;;, SYSTEM
91;rp_request for payment 149073_16;SYSTEM;Payment Handled;2017-03-23 17:30:45+01:00;UNDEFINED;project 147546;UNKNOWN;request for payment 149073;organizational unit 65458;0;75.37943203478883;UNKNOWN;request for payment number 149074; payment; handled;;;, SYSTEM
92;st_step 149261_0;STAFF MEMBER;Request For Payment SAVED by EMPLOYEE;2017-03-21 11:07:41+01:00;EMPLOYEE;UNKNOWN;UNKNOWN;request for payment 149260;organizational unit 65463;0;11.748022245864354;UNKNOWN;UNKNOWN; request for payment, employee; saved;; employee;, STAFF MEMBER
