;id;org:resource;concept:name;time:timestamp;org:role;case:concept:name;case:BudgetNumber;case:DeclarationNumber;case:Amount;object:name;action:name;action:status;org:actor:name;org:actor:name:a
23;st_step 86723_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-01-19 16:13:46+01:00;PRE_APPROVER;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
24;st_step 86722_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-23 08:52:57+01:00;SUPERVISOR;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
25;dd_declaration 86720_19;SYSTEM;Request Payment;2017-01-23 13:04:01+01:00;UNDEFINED;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; payment; request;;;, SYSTEM
26;dd_declaration 86720_20;SYSTEM;Payment Handled;2017-01-26 17:30:39+01:00;UNDEFINED;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; payment; handled;;;, SYSTEM
27;st_step 86751_0;STAFF MEMBER;Declaration SAVED by EMPLOYEE;2017-01-10 13:41:35+01:00;EMPLOYEE;declaration 86750;budget 86566;UNKNOWN;0.0; declaration, employee; saved;; employee;, STAFF MEMBER
28;st_step 86610_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-17 10:51:37+01:00;EMPLOYEE;declaration 86604;budget 86566;declaration number 86605;59.461631562157415; declaration, employee; submitted;; employee;, STAFF MEMBER
29;st_step 86609_0;STAFF MEMBER;Declaration REJECTED by SUPERVISOR;2017-01-17 10:53:09+01:00;SUPERVISOR;declaration 86604;budget 86566;declaration number 86605;59.461631562157415; declaration; rejected;; supervisor, supervisor;, STAFF MEMBER
30;st_step 86608_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-01-20 09:05:00+01:00;EMPLOYEE;declaration 86604;budget 86566;declaration number 86605;59.461631562157415; declaration, employee; rejected;; employee;, STAFF MEMBER
31;st_step 86606_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-20 16:30:13+01:00;EMPLOYEE;declaration 86604;budget 86566;declaration number 86605;59.461631562157415; declaration, employee; submitted;; employee;, STAFF MEMBER
32;st_step 86607_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-20 16:30:38+01:00;SUPERVISOR;declaration 86604;budget 86566;declaration number 86605;59.461631562157415; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
33;dd_declaration 86604_19;SYSTEM;Request Payment;2017-01-23 14:47:36+01:00;UNDEFINED;declaration 86604;budget 86566;declaration number 86605;59.461631562157415; payment; request;;;, SYSTEM
34;dd_declaration 86604_20;SYSTEM;Payment Handled;2017-01-26 17:30:39+01:00;UNDEFINED;declaration 86604;budget 86566;declaration number 86605;59.461631562157415; payment; handled;;;, SYSTEM
35;st_step 86715_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-18 09:05:04+01:00;EMPLOYEE;declaration 86708;budget 86566;declaration number 86709;110.51789031808528; declaration, employee; submitted;; employee;, STAFF MEMBER
36;st_step 86713_0;STAFF MEMBER;Declaration REJECTED by PRE_APPROVER;2017-01-18 09:05:20+01:00;PRE_APPROVER;declaration 86708;budget 86566;declaration number 86709;110.51789031808528; declaration, pre; rejected, approver;; pre approver;, STAFF MEMBER
37;st_step 86714_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-01-18 09:29:42+01:00;EMPLOYEE;declaration 86708;budget 86566;declaration number 86709;110.51789031808528; declaration, employee; rejected;; employee;, STAFF MEMBER
38;st_step 86712_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-18 11:07:02+01:00;EMPLOYEE;declaration 86708;budget 86566;declaration number 86709;110.51789031808528; declaration, employee; submitted;; employee;, STAFF MEMBER
39;st_step 86711_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-01-18 11:07:35+01:00;PRE_APPROVER;declaration 86708;budget 86566;declaration number 86709;110.51789031808528; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
40;st_step 86710_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-18 11:43:52+01:00;SUPERVISOR;declaration 86708;budget 86566;declaration number 86709;110.51789031808528; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
41;dd_declaration 86708_19;SYSTEM;Request Payment;2017-01-19 16:22:12+01:00;UNDEFINED;declaration 86708;budget 86566;declaration number 86709;110.51789031808528; payment; request;;;, SYSTEM
42;dd_declaration 86708_20;SYSTEM;Payment Handled;2017-01-23 17:32:00+01:00;UNDEFINED;declaration 86708;budget 86566;declaration number 86709;110.51789031808528; payment; handled;;;, SYSTEM
43;st_step 86629_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-18 13:44:32+01:00;EMPLOYEE;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration, employee; submitted;; employee;, STAFF MEMBER
44;st_step 86630_0;STAFF MEMBER;Declaration REJECTED by PRE_APPROVER;2017-01-18 13:44:39+01:00;PRE_APPROVER;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration, pre; rejected, approver;; pre approver;, STAFF MEMBER
45;st_step 86631_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-01-20 15:44:10+01:00;EMPLOYEE;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration, employee; rejected;; employee;, STAFF MEMBER
46;st_step 86626_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-23 09:31:12+01:00;EMPLOYEE;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration, employee; submitted;; employee;, STAFF MEMBER
47;st_step 86627_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-01-23 09:31:16+01:00;PRE_APPROVER;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
48;st_step 86628_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-23 14:26:38+01:00;SUPERVISOR;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
49;st_step 86625_0;STAFF MEMBER;Declaration REJECTED by MISSING;2017-01-26 13:04:38+01:00;MISSING;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration; rejected;; missing;, STAFF MEMBER
50;st_step 86624_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-26 13:33:37+01:00;EMPLOYEE;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration, employee; submitted;; employee;, STAFF MEMBER
51;st_step 86622_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-01-26 13:33:40+01:00;PRE_APPROVER;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
52;st_step 86623_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-26 13:52:11+01:00;SUPERVISOR;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
53;dd_declaration 86620_19;SYSTEM;Request Payment;2017-02-02 14:31:08+01:00;UNDEFINED;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; payment; request;;;, SYSTEM
54;dd_declaration 86620_20;SYSTEM;Payment Handled;2017-02-06 17:31:41+01:00;UNDEFINED;declaration 86620;budget 86566;declaration number 86621;25.363941367198898; payment; handled;;;, SYSTEM
55;st_step 86640_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-18 13:50:29+01:00;EMPLOYEE;declaration 86632;budget 86566;declaration number 86633;39.787862337922846; declaration, employee; submitted;; employee;, STAFF MEMBER
56;st_step 86639_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-01-19 13:51:22+01:00;PRE_APPROVER;declaration 86632;budget 86566;declaration number 86633;39.787862337922846; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
57;st_step 86637_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-19 14:00:15+01:00;SUPERVISOR;declaration 86632;budget 86566;declaration number 86633;39.787862337922846; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
58;st_step 86638_0;STAFF MEMBER;Declaration REJECTED by MISSING;2017-01-24 12:54:35+01:00;MISSING;declaration 86632;budget 86566;declaration number 86633;39.787862337922846; declaration; rejected;; missing;, STAFF MEMBER
59;st_step 86634_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-24 14:43:34+01:00;EMPLOYEE;declaration 86632;budget 86566;declaration number 86633;39.787862337922846; declaration, employee; submitted;; employee;, STAFF MEMBER
60;st_step 86635_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-01-24 14:44:45+01:00;PRE_APPROVER;declaration 86632;budget 86566;declaration number 86633;39.787862337922846; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
61;st_step 86636_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-24 14:45:18+01:00;SUPERVISOR;declaration 86632;budget 86566;declaration number 86633;39.787862337922846; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
62;dd_declaration 86632_19;SYSTEM;Request Payment;2017-01-27 10:53:36+01:00;UNDEFINED;declaration 86632;budget 86566;declaration number 86633;39.787862337922846; payment; request;;;, SYSTEM
63;dd_declaration 86632_20;SYSTEM;Payment Handled;2017-01-30 17:31:35+01:00;UNDEFINED;declaration 86632;budget 86566;declaration number 86633;39.787862337922846; payment; handled;;;, SYSTEM
64;st_step 93601_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-23 22:57:13+01:00;EMPLOYEE;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; declaration, employee; submitted;; employee;, STAFF MEMBER
65;st_step 93599_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-23 22:58:21+01:00;SUPERVISOR;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
66;st_step 93600_0;STAFF MEMBER;Declaration REJECTED by MISSING;2017-01-26 11:34:35+01:00;MISSING;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; declaration; rejected;; missing;, STAFF MEMBER
67;st_step 93597_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-31 22:22:25+01:00;EMPLOYEE;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; declaration, employee; submitted;; employee;, STAFF MEMBER
68;st_step 93598_0;STAFF MEMBER;Declaration REJECTED by SUPERVISOR;2017-01-31 22:23:39+01:00;SUPERVISOR;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; declaration; rejected;; supervisor, supervisor;, STAFF MEMBER
69;st_step 93596_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-02-01 10:41:54+01:00;EMPLOYEE;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; declaration, employee; rejected;; employee;, STAFF MEMBER
70;st_step 93594_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-02-03 11:12:28+01:00;EMPLOYEE;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; declaration, employee; submitted;; employee;, STAFF MEMBER
71;st_step 93595_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-02-03 11:12:40+01:00;SUPERVISOR;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
72;dd_declaration 93592_19;SYSTEM;Request Payment;2017-02-07 15:52:57+01:00;UNDEFINED;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; payment; request;;;, SYSTEM
73;dd_declaration 93592_20;SYSTEM;Payment Handled;2017-02-09 17:31:51+01:00;UNDEFINED;declaration 93592;budget 86566;declaration number 93593;336.74194420419974; payment; handled;;;, SYSTEM
74;st_step 90096_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-27 10:26:40+01:00;EMPLOYEE;declaration 90094;budget 86566;UNKNOWN;0.0; declaration, employee; submitted;; employee;, STAFF MEMBER
75;st_step 90097_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-27 10:58:17+01:00;SUPERVISOR;declaration 90094;budget 86566;UNKNOWN;0.0; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
76;st_step 90095_0;STAFF MEMBER;Declaration REJECTED by MISSING;2017-01-30 12:12:29+01:00;MISSING;declaration 90094;budget 86566;UNKNOWN;0.0; declaration; rejected;; missing;, STAFF MEMBER
77;st_step 88073_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-31 22:26:54+01:00;EMPLOYEE;declaration 88072;budget 86566;UNKNOWN;0.0; declaration, employee; submitted;; employee;, STAFF MEMBER
78;st_step 88074_0;STAFF MEMBER;Declaration REJECTED by SUPERVISOR;2017-01-31 22:30:15+01:00;SUPERVISOR;declaration 88072;budget 86566;UNKNOWN;0.0; declaration; rejected;; supervisor, supervisor;, STAFF MEMBER
79;st_step 88075_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-02-01 10:43:25+01:00;EMPLOYEE;declaration 88072;budget 86566;UNKNOWN;0.0; declaration, employee; rejected;; employee;, STAFF MEMBER
80;st_step 89529_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-02-02 17:09:33+01:00;EMPLOYEE;declaration 89524;budget 86566;declaration number 89525;66.48381869117404; declaration, employee; submitted;; employee;, STAFF MEMBER
81;st_step 89530_0;STAFF MEMBER;Declaration REJECTED by SUPERVISOR;2017-02-02 17:57:27+01:00;SUPERVISOR;declaration 89524;budget 86566;declaration number 89525;66.48381869117404; declaration; rejected;; supervisor, supervisor;, STAFF MEMBER
82;st_step 89531_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-02-15 08:57:28+01:00;EMPLOYEE;declaration 89524;budget 86566;declaration number 89525;66.48381869117404; declaration, employee; rejected;; employee;, STAFF MEMBER
83;st_step 89528_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-03-14 09:53:28+01:00;EMPLOYEE;declaration 89524;budget 86566;declaration number 89525;66.48381869117404; declaration, employee; submitted;; employee;, STAFF MEMBER
84;st_step 89527_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-03-14 10:15:23+01:00;PRE_APPROVER;declaration 89524;budget 86566;declaration number 89525;66.48381869117404; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
85;st_step 89526_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-03-21 05:15:02+01:00;SUPERVISOR;declaration 89524;budget 86566;declaration number 89525;66.48381869117404; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
86;dd_declaration 89524_19;SYSTEM;Request Payment;2017-03-21 10:12:21+01:00;UNDEFINED;declaration 89524;budget 86566;declaration number 89525;66.48381869117404; payment; request;;;, SYSTEM
87;dd_declaration 89524_20;SYSTEM;Payment Handled;2017-03-23 17:30:42+01:00;UNDEFINED;declaration 89524;budget 86566;declaration number 89525;66.48381869117404; payment; handled;;;, SYSTEM
88;st_step 88480_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-02-15 08:32:42+01:00;EMPLOYEE;declaration 88473;budget 86566;declaration number 88474;31.516097973622692; declaration, employee; submitted;; employee;, STAFF MEMBER
89;st_step 88479_0;STAFF MEMBER;Declaration REJECTED by PRE_APPROVER;2017-02-15 08:33:00+01:00;PRE_APPROVER;declaration 88473;budget 86566;declaration number 88474;31.516097973622692; declaration, pre; rejected, approver;; pre approver;, STAFF MEMBER
90;st_step 88478_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-02-15 10:03:45+01:00;EMPLOYEE;declaration 88473;budget 86566;declaration number 88474;31.516097973622692; declaration, employee; submitted;; employee;, STAFF MEMBER
91;st_step 88481_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-02-15 10:04:24+01:00;EMPLOYEE;declaration 88473;budget 86566;declaration number 88474;31.516097973622692; declaration, employee; rejected;; employee;, STAFF MEMBER
92;st_step 88477_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-02-15 10:19:52+01:00;EMPLOYEE;declaration 88473;budget 86566;declaration number 88474;31.516097973622692; declaration, employee; submitted;; employee;, STAFF MEMBER
93;st_step 88476_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-02-15 10:20:00+01:00;PRE_APPROVER;declaration 88473;budget 86566;declaration number 88474;31.516097973622692; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
94;st_step 88475_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-02-16 10:07:53+01:00;SUPERVISOR;declaration 88473;budget 86566;declaration number 88474;31.516097973622692; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
95;dd_declaration 88473_19;SYSTEM;Request Payment;2017-02-20 14:25:35+01:00;UNDEFINED;declaration 88473;budget 86566;declaration number 88474;31.516097973622692; payment; request;;;, SYSTEM
96;dd_declaration 88473_20;SYSTEM;Payment Handled;2017-02-23 17:32:23+01:00;UNDEFINED;declaration 88473;budget 86566;declaration number 88474;31.516097973622692; payment; handled;;;, SYSTEM
97;st_step 100204_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-02-15 09:52:59+01:00;EMPLOYEE;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; declaration, employee; submitted;; employee;, STAFF MEMBER
98;st_step 100205_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-03-14 10:09:11+01:00;PRE_APPROVER;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
99;st_step 100206_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-03-21 05:15:02+01:00;SUPERVISOR;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
100;st_step 100203_0;STAFF MEMBER;Declaration REJECTED by MISSING;2018-01-08 13:54:03+01:00;MISSING;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; declaration; rejected;; missing;, STAFF MEMBER
101;st_step 100199_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2018-01-08 16:35:34+01:00;EMPLOYEE;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; declaration, employee; submitted;; employee;, STAFF MEMBER
102;st_step 100202_0;STAFF MEMBER;Declaration APPROVED by ADMINISTRATION;2018-01-08 16:36:03+01:00;ADMINISTRATION;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; declaration; approved;; administration, administration;, STAFF MEMBER
103;st_step 100201_0;STAFF MEMBER;Declaration APPROVED by BUDGET OWNER;2018-01-16 10:19:31+01:00;BUDGET OWNER;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; declaration; approved;; budget owner, budget owner;, STAFF MEMBER
104;st_step 100200_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2018-01-18 12:19:48+01:00;SUPERVISOR;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
105;dd_declaration 100197_19;SYSTEM;Request Payment;2018-01-23 07:36:59+01:00;UNDEFINED;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; payment; request;;;, SYSTEM
106;dd_declaration 100197_20;SYSTEM;Payment Handled;2018-01-25 17:31:07+01:00;UNDEFINED;declaration 100197;budget 86566;declaration number 100198;9.759092651915456; payment; handled;;;, SYSTEM
107;st_step 86910_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-03-08 09:23:42+01:00;EMPLOYEE;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; declaration, employee; submitted;; employee;, STAFF MEMBER
108;st_step 86911_0;STAFF MEMBER;Declaration REJECTED by PRE_APPROVER;2017-03-08 09:31:29+01:00;PRE_APPROVER;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; declaration, pre; rejected, approver;; pre approver;, STAFF MEMBER
109;st_step 86909_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-03-08 11:02:53+01:00;EMPLOYEE;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; declaration, employee; rejected;; employee;, STAFF MEMBER
110;st_step 86908_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-03-08 11:04:44+01:00;EMPLOYEE;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; declaration, employee; submitted;; employee;, STAFF MEMBER
111;st_step 86906_0;STAFF MEMBER;Declaration REJECTED by PRE_APPROVER;2017-03-08 11:04:52+01:00;PRE_APPROVER;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; declaration, pre; rejected, approver;; pre approver;, STAFF MEMBER
112;st_step 86907_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-03-08 11:17:47+01:00;EMPLOYEE;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; declaration, employee; rejected;; employee;, STAFF MEMBER
113;st_step 86904_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-03-08 11:20:16+01:00;EMPLOYEE;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; declaration, employee; submitted;; employee;, STAFF MEMBER
114;st_step 86903_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-03-08 11:20:29+01:00;PRE_APPROVER;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
115;st_step 86905_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-03-08 13:37:00+01:00;SUPERVISOR;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
116;dd_declaration 86901_19;SYSTEM;Request Payment;2017-03-09 12:11:01+01:00;UNDEFINED;declaration 86901;budget 86566;declaration number 86902;135.19826508052057; payment; request;;;, SYSTEM
