;amount;org:resource;dismissal;concept:name;vehicleClass;totalPaymentAmount;lifecycle:transition;time:timestamp;article;points;case:concept:name;expense;notificationType;lastSent;paymentAmount;matricola;object:name;action:name;action:status:a;org:actor:name;org:actor:instance:a;org:passive:name
17;;;#;Send Appeal to Prefecture;;;complete;2007-09-24 00:00:00+02:00;;;A10001;;;;;; appeal; send;, complete;;, nan; prefecture
18;36.0;537;NIL;Create Fine;A;0.0;complete;2007-03-20 00:00:00+01:00;157.0;0.0;A10005;;;;;; fine; create;, complete;;, 537;
19;;;;Payment;;36.0;complete;2007-03-21 00:00:00+01:00;;;A10005;;;;36.0;;; payment;, complete;;, nan;
20;22.0;537;NIL;Create Fine;A;0.0;complete;2007-03-20 00:00:00+01:00;7.0;0.0;A10009;;;;;; fine; create;, complete;;, 537;
21;;;;Send Fine;;;complete;2007-07-17 00:00:00+02:00;;;A10009;13.0;;;;; fine; send;, complete;;, nan;
22;;;;Insert Fine Notification;;;complete;2007-07-23 00:00:00+02:00;;;A10009;;P;P;;; fine notification; insert;, complete;;, nan;
23;44.0;;;Add penalty;;;complete;2007-09-21 00:00:00+02:00;;;A10009;;;;;; penalty; add;, complete;;, nan;
24;;;;Payment;;35.0;complete;2007-10-01 00:00:00+02:00;;;A10009;;;;35.0;;; payment;, complete;;, nan;
25;;;;Payment;;57.0;complete;2007-10-31 00:00:00+01:00;;;A10009;;;;22.0;;; payment;, complete;;, nan;
26;36.0;557;NIL;Create Fine;A;0.0;complete;2007-03-05 00:00:00+01:00;157.0;0.0;A10102;;;;;; fine; create;, complete;;, 557;
27;;;;Send Fine;;;complete;2007-06-27 00:00:00+02:00;;;A10102;13.0;;;;; fine; send;, complete;;, nan;
28;;;;Insert Fine Notification;;;complete;2007-07-07 00:00:00+02:00;;;A10102;;P;P;;; fine notification; insert;, complete;;, nan;
29;74.0;;;Add penalty;;;complete;2007-09-05 00:00:00+02:00;;;A10102;;;;;; penalty; add;, complete;;, nan;
30;;;;Insert Date Appeal to Prefecture;;;complete;2007-09-10 00:00:00+02:00;;;A10102;;;;;; date appeal; insert;, complete;;, nan; prefecture
31;;;#;Send Appeal to Prefecture;;;complete;2007-10-25 00:00:00+02:00;;;A10102;;;;;; appeal; send;, complete;;, nan; prefecture
32;36.0;557;NIL;Create Fine;A;0.0;complete;2007-03-10 00:00:00+01:00;157.0;0.0;A10125;;;;;; fine; create;, complete;;, 557;
33;;;;Send Fine;;;complete;2007-07-17 00:00:00+02:00;;;A10125;13.0;;;;; fine; send;, complete;;, nan;
34;;;;Insert Fine Notification;;;complete;2007-07-26 00:00:00+02:00;;;A10125;;P;P;;; fine notification; insert;, complete;;, nan;
35;;;;Insert Date Appeal to Prefecture;;;complete;2007-08-01 00:00:00+02:00;;;A10125;;;;;; date appeal; insert;, complete;;, nan; prefecture
36;;;;Payment;;49.0;complete;2007-09-14 00:00:00+02:00;;;A10125;;;;49.0;;; payment;, complete;;, nan;
37;74.0;;;Add penalty;;;complete;2007-09-24 00:00:00+02:00;;;A10125;;;;;; penalty; add;, complete;;, nan;
38;;;NIL;Send Appeal to Prefecture;;;complete;2007-09-24 00:00:00+02:00;;;A10125;;;;;; appeal; send;, complete;;, nan; prefecture
39;21.0;550;NIL;Create Fine;A;0.0;complete;2006-09-11 00:00:00+02:00;7.0;0.0;A1017;;;;;; fine; create;, complete;;, 550;
40;;;;Send Fine;;;complete;2006-12-29 00:00:00+01:00;;;A1017;11.0;;;;; fine; send;, complete;;, nan;
41;;;;Insert Fine Notification;;;complete;2007-01-09 00:00:00+01:00;;;A1017;;P;P;;; fine notification; insert;, complete;;, nan;
42;42.5;;;Add penalty;;;complete;2007-03-10 00:00:00+01:00;;;A1017;;;;;; penalty; add;, complete;;, nan;
43;;;;Payment;;32.0;complete;2007-04-05 00:00:00+02:00;;;A1017;;;;32.0;;; payment;, complete;;, nan;
44;;;;Send for Credit Collection;;;complete;2009-03-30 00:00:00+02:00;;;A1017;;;;;; for credit collection; send;, complete;;, nan;
45;36.0;559;NIL;Create Fine;A;0.0;complete;2007-03-14 00:00:00+01:00;157.0;0.0;A10249;;;;;; fine; create;, complete;;, 559;
46;;;;Send Fine;;;complete;2007-07-17 00:00:00+02:00;;;A10249;22.0;;;;; fine; send;, complete;;, nan;
47;;;;Insert Fine Notification;;;complete;2007-07-25 00:00:00+02:00;;;A10249;;P;P;;; fine notification; insert;, complete;;, nan;
48;74.0;;;Add penalty;;;complete;2007-09-23 00:00:00+02:00;;;A10249;;;;;; penalty; add;, complete;;, nan;
49;;;;Insert Date Appeal to Prefecture;;;complete;2007-11-02 00:00:00+01:00;;;A10249;;;;;; date appeal; insert;, complete;;, nan; prefecture
50;;;NIL;Send Appeal to Prefecture;;;complete;2007-12-28 00:00:00+01:00;;;A10249;;;;;; appeal; send;, complete;;, nan; prefecture
51;;;;Receive Result Appeal from Prefecture;;;complete;2008-01-22 00:00:00+01:00;;;A10249;;;;;; result appeal; receive;, complete; prefecture;, nan;
52;;;;Notify Result Appeal to Offender;;;complete;2008-01-25 00:00:00+01:00;;;A10249;;;;;; result appeal; notify;, complete;;, nan; offender
53;;;;Payment;;94.0;complete;2008-02-09 00:00:00+01:00;;;A10249;;;;94.0;;; payment;, complete;;, nan;
54;22.0;541;NIL;Create Fine;A;0.0;complete;2007-07-01 00:00:00+02:00;7.0;0.0;A10435;;;;;; fine; create;, complete;;, 541;
55;;;;Send Fine;;;complete;2007-09-29 00:00:00+02:00;;;A10435;13.0;;;;; fine; send;, complete;;, nan;
56;;;;Payment;;35.0;complete;2007-10-23 00:00:00+02:00;;;A10435;;;;35.0;;; payment;, complete;;, nan;
57;36.0;541;NIL;Create Fine;A;0.0;complete;2007-03-13 00:00:00+01:00;157.0;0.0;A10619;;;;;; fine; create;, complete;;, 541;
58;;;;Send Fine;;;complete;2007-07-17 00:00:00+02:00;;;A10619;22.0;;;;; fine; send;, complete;;, nan;
59;;;;Insert Fine Notification;;;complete;2007-07-25 00:00:00+02:00;;;A10619;;P;P;;; fine notification; insert;, complete;;, nan;
60;;;;Insert Date Appeal to Prefecture;;;complete;2007-09-21 00:00:00+02:00;;;A10619;;;;;; date appeal; insert;, complete;;, nan; prefecture
61;74.0;;;Add penalty;;;complete;2007-09-23 00:00:00+02:00;;;A10619;;;;;; penalty; add;, complete;;, nan;
62;;;NIL;Send Appeal to Prefecture;;;complete;2007-10-30 00:00:00+01:00;;;A10619;;;;;; appeal; send;, complete;;, nan; prefecture
63;;;;Receive Result Appeal from Prefecture;;;complete;2007-11-12 00:00:00+01:00;;;A10619;;;;;; result appeal; receive;, complete; prefecture;, nan;
64;;;;Notify Result Appeal to Offender;;;complete;2007-11-16 00:00:00+01:00;;;A10619;;;;;; result appeal; notify;, complete;;, nan; offender
65;;;;Payment;;94.0;complete;2008-10-07 00:00:00+02:00;;;A10619;;;;94.0;;; payment;, complete;;, nan;
66;22.0;559;NIL;Create Fine;A;0.0;complete;2007-03-25 00:00:00+01:00;7.0;0.0;A10798;;;;;; fine; create;, complete;;, 559;
67;;;;Send Fine;;;complete;2007-08-02 00:00:00+02:00;;;A10798;13.0;;;;; fine; send;, complete;;, nan;
68;;;;Insert Fine Notification;;;complete;2007-08-11 00:00:00+02:00;;;A10798;;P;P;;; fine notification; insert;, complete;;, nan;
69;;;;Payment;;22.0;complete;2007-09-25 00:00:00+02:00;;;A10798;;;;22.0;;; payment;, complete;;, nan;
70;44.0;;;Add penalty;;;complete;2007-10-10 00:00:00+02:00;;;A10798;;;;;; penalty; add;, complete;;, nan;
71;;;;Payment;;35.0;complete;2007-10-20 00:00:00+02:00;;;A10798;;;;13.0;;; payment;, complete;;, nan;
72;35.0;557;NIL;Create Fine;A;0.0;complete;2006-08-15 00:00:00+02:00;7.0;0.0;A1161;;;;;; fine; create;, complete;;, 557;
73;;;;Payment;;35.0;complete;2006-12-12 00:00:00+01:00;;;A1161;;;;35.0;;; payment;, complete;;, nan;
74;;;;Send Fine;;;complete;2006-12-14 00:00:00+01:00;;;A1161;11.0;;;;; fine; send;, complete;;, nan;
75;;;;Payment;;46.0;complete;2006-12-30 00:00:00+01:00;;;A1161;;;;11.0;;; payment;, complete;;, nan;
76;35.0;557;NIL;Create Fine;A;0.0;complete;2006-08-18 00:00:00+02:00;157.0;0.0;A1183;;;;;; fine; create;, complete;;, 557;
77;;;;Payment;;30.0;complete;2006-08-24 00:00:00+02:00;;;A1183;;;;30.0;;; payment;, complete;;, nan;
78;;;;Send Fine;;;complete;2006-12-14 00:00:00+01:00;;;A1183;11.0;;;;; fine; send;, complete;;, nan;
79;;;;Insert Fine Notification;;;complete;2006-12-22 00:00:00+01:00;;;A1183;;P;P;;; fine notification; insert;, complete;;, nan;
80;71.5;;;Add penalty;;;complete;2007-02-20 00:00:00+01:00;;;A1183;;;;;; penalty; add;, complete;;, nan;
81;;;;Send for Credit Collection;;;complete;2009-03-30 00:00:00+02:00;;;A1183;;;;;; for credit collection; send;, complete;;, nan;
82;36.0;561;NIL;Create Fine;A;0.0;complete;2007-04-29 00:00:00+02:00;157.0;0.0;A12260;;;;;; fine; create;, complete;;, 561;
83;;;;Payment;;36.0;complete;2007-07-05 00:00:00+02:00;;;A12260;;;;36.0;;; payment;, complete;;, nan;
84;;;;Send Fine;;;complete;2007-08-02 00:00:00+02:00;;;A12260;13.0;;;;; fine; send;, complete;;, nan;
85;;;;Insert Fine Notification;;;complete;2007-08-10 00:00:00+02:00;;;A12260;;P;P;;; fine notification; insert;, complete;;, nan;
86;74.0;;;Add penalty;;;complete;2007-10-09 00:00:00+02:00;;;A12260;;;;;; penalty; add;, complete;;, nan;
87;;;;Payment;;87.0;complete;2008-09-30 00:00:00+02:00;;;A12260;;;;51.0;;; payment;, complete;;, nan;
88;36.0;541;NIL;Create Fine;A;0.0;complete;2007-05-12 00:00:00+02:00;157.0;0.0;A12414;;;;;; fine; create;, complete;;, 541;
89;;;;Send Fine;;;complete;2007-08-20 00:00:00+02:00;;;A12414;22.0;;;;; fine; send;, complete;;, nan;
90;;;;Insert Fine Notification;;;complete;2007-09-03 00:00:00+02:00;;;A12414;;P;P;;; fine notification; insert;, complete;;, nan;
91;;;;Insert Date Appeal to Prefecture;;;complete;2007-10-22 00:00:00+02:00;;;A12414;;;;;; date appeal; insert;, complete;;, nan; prefecture
92;74.0;;;Add penalty;;;complete;2007-11-02 00:00:00+01:00;;;A12414;;;;;; penalty; add;, complete;;, nan;
93;;;NIL;Send Appeal to Prefecture;;;complete;2007-12-07 00:00:00+01:00;;;A12414;;;;;; appeal; send;, complete;;, nan; prefecture
94;;;;Receive Result Appeal from Prefecture;;;complete;2007-12-18 00:00:00+01:00;;;A12414;;;;;; result appeal; receive;, complete; prefecture;, nan;
95;;;;Notify Result Appeal to Offender;;;complete;2007-12-21 00:00:00+01:00;;;A12414;;;;;; result appeal; notify;, complete;;, nan; offender
96;;0;G;Appeal to Judge;;;complete;2008-01-21 00:00:00+01:00;;;A12414;;;;;0.0;; appeal;, complete;;, 0; judge
97;35.0;541;NIL;Create Fine;A;0.0;complete;2006-08-02 00:00:00+02:00;157.0;0.0;A127;;;;;; fine; create;, complete;;, 541;
98;;;;Payment;;35.0;complete;2006-08-04 00:00:00+02:00;;;A127;;;;35.0;;; payment;, complete;;, nan;
99;;;;Send Fine;;;complete;2006-12-12 00:00:00+01:00;;;A127;11.0;;;;; fine; send;, complete;;, nan;
100;36.0;558;NIL;Create Fine;A;0.0;complete;2007-06-02 00:00:00+02:00;157.0;0.0;A12991;;;;;; fine; create;, complete;;, 558;
101;;;;Send Fine;;;complete;2007-08-20 00:00:00+02:00;;;A12991;13.0;;;;; fine; send;, complete;;, nan;
102;;;;Insert Fine Notification;;;complete;2007-08-28 00:00:00+02:00;;;A12991;;P;P;;; fine notification; insert;, complete;;, nan;
103;74.0;;;Add penalty;;;complete;2007-10-27 00:00:00+02:00;;;A12991;;;;;; penalty; add;, complete;;, nan;
104;;;;Payment;;49.0;complete;2007-12-27 00:00:00+01:00;;;A12991;;;;49.0;;; payment;, complete;;, nan;
105;;;;Payment;;87.0;complete;2008-01-18 00:00:00+01:00;;;A12991;;;;38.0;;; payment;, complete;;, nan;
106;;;;Payment;;125.0;complete;2008-03-12 00:00:00+01:00;;;A12991;;;;38.0;;; payment;, complete;;, nan;
107;36.0;558;NIL;Create Fine;A;0.0;complete;2007-06-15 00:00:00+02:00;157.0;0.0;A13617;;;;;; fine; create;, complete;;, 558;
108;;;;Send Fine;;;complete;2007-08-22 00:00:00+02:00;;;A13617;22.0;;;;; fine; send;, complete;;, nan;
109;;;;Insert Fine Notification;;;complete;2007-09-03 00:00:00+02:00;;;A13617;;P;P;;; fine notification; insert;, complete;;, nan;
110;;;;Insert Date Appeal to Prefecture;;;complete;2007-09-20 00:00:00+02:00;;;A13617;;;;;; date appeal; insert;, complete;;, nan; prefecture
111;;;NIL;Send Appeal to Prefecture;;;complete;2007-10-30 00:00:00+01:00;;;A13617;;;;;; appeal; send;, complete;;, nan; prefecture
112;74.0;;;Add penalty;;;complete;2007-11-02 00:00:00+01:00;;;A13617;;;;;; penalty; add;, complete;;, nan;
113;;;;Receive Result Appeal from Prefecture;;;complete;2007-11-09 00:00:00+01:00;;;A13617;;;;;; result appeal; receive;, complete; prefecture;, nan;
114;;;;Notify Result Appeal to Offender;;;complete;2007-11-17 00:00:00+01:00;;;A13617;;;;;; result appeal; notify;, complete;;, nan; offender
115;;;;Send for Credit Collection;;;complete;2009-03-30 00:00:00+02:00;;;A13617;;;;;; for credit collection; send;, complete;;, nan;
116;36.0;561;NIL;Create Fine;A;0.0;complete;2007-06-16 00:00:00+02:00;157.0;0.0;A13984;;;;;; fine; create;, complete;;, 561;
117;;;;Send Fine;;;complete;2007-08-22 00:00:00+02:00;;;A13984;26.0;;;;; fine; send;, complete;;, nan;
118;;;;Insert Fine Notification;;;complete;2007-08-28 00:00:00+02:00;;;A13984;;P;P;;; fine notification; insert;, complete;;, nan;
119;74.0;;;Add penalty;;;complete;2007-10-27 00:00:00+02:00;;;A13984;;;;;; penalty; add;, complete;;, nan;
120;;;;Insert Date Appeal to Prefecture;;;complete;2008-08-22 00:00:00+02:00;;;A13984;;;;;; date appeal; insert;, complete;;, nan; prefecture
121;;;;Receive Result Appeal from Prefecture;;;complete;2008-09-06 00:00:00+02:00;;;A13984;;;;;; result appeal; receive;, complete; prefecture;, nan;
122;;;;Notify Result Appeal to Offender;;;complete;2008-09-16 00:00:00+02:00;;;A13984;;;;;; result appeal; notify;, complete;;, nan; offender
123;;;;Payment;;98.0;complete;2009-08-06 00:00:00+02:00;;;A13984;;;;98.0;;; payment;, complete;;, nan;
124;;;;Payment;;196.0;complete;2010-03-15 00:00:00+01:00;;;A13984;;;;98.0;;; payment;, complete;;, nan;
125;36.0;557;NIL;Create Fine;A;0.0;complete;2007-06-21 00:00:00+02:00;157.0;0.0;A14194;;;;;; fine; create;, complete;;, 557;
126;;;;Send Fine;;;complete;2007-10-31 00:00:00+01:00;;;A14194;18.6;;;;; fine; send;, complete;;, nan;
127;;;;Insert Date Appeal to Prefecture;;;complete;2007-11-13 00:00:00+01:00;;;A14194;;;;;; date appeal; insert;, complete;;, nan; prefecture
128;;;;Insert Fine Notification;;;complete;2007-11-13 00:00:00+01:00;;;A14194;;P;P;;; fine notification; insert;, complete;;, nan;
129;74.0;;;Add penalty;;;complete;2008-01-12 00:00:00+01:00;;;A14194;;;;;; penalty; add;, complete;;, nan;
130;;;;Payment;;92.6;complete;2008-10-10 00:00:00+02:00;;;A14194;;;;92.6;;; payment;, complete;;, nan;
131;36.0;557;NIL;Create Fine;A;0.0;complete;2007-06-27 00:00:00+02:00;157.0;0.0;A14727;;;;;; fine; create;, complete;;, 557;
132;;;;Send Fine;;;complete;2007-09-13 00:00:00+02:00;;;A14727;13.0;;;;; fine; send;, complete;;, nan;
133;;;;Insert Fine Notification;;;complete;2007-10-04 00:00:00+02:00;;;A14727;;P;P;;; fine notification; insert;, complete;;, nan;
134;;0;NIL;Appeal to Judge;;;complete;2007-10-09 00:00:00+02:00;;;A14727;;;;;0.0;; appeal;, complete;;, 0; judge
135;74.0;;;Add penalty;;;complete;2007-12-03 00:00:00+01:00;;;A14727;;;;;; penalty; add;, complete;;, nan;
136;;;;Payment;;87.0;complete;2009-08-17 00:00:00+02:00;;;A14727;;;;87.0;;; payment;, complete;;, nan;
137;36.0;564;NIL;Create Fine;A;0.0;complete;2007-06-05 00:00:00+02:00;157.0;0.0;A15064;;;;;; fine; create;, complete;;, 564;
138;;;;Send Fine;;;complete;2007-08-20 00:00:00+02:00;;;A15064;26.0;;;;; fine; send;, complete;;, nan;
139;;;;Insert Fine Notification;;;complete;2007-09-04 00:00:00+02:00;;;A15064;;P;P;;; fine notification; insert;, complete;;, nan;
140;74.0;;;Add penalty;;;complete;2007-11-03 00:00:00+01:00;;;A15064;;;;;; penalty; add;, complete;;, nan;
141;;;;Receive Result Appeal from Prefecture;;;complete;2008-01-31 00:00:00+01:00;;;A15064;;;;;; result appeal; receive;, complete; prefecture;, nan;
142;;;;Notify Result Appeal to Offender;;;complete;2008-03-01 00:00:00+01:00;;;A15064;;;;;; result appeal; notify;, complete;;, nan; offender
143;;;;Payment;;98.0;complete;2008-04-01 00:00:00+02:00;;;A15064;;;;98.0;;; payment;, complete;;, nan;
144;35.0;560;NIL;Create Fine;A;0.0;complete;2006-08-13 00:00:00+02:00;157.0;0.0;A1516;;;;;; fine; create;, complete;;, 560;
145;;;;Send Fine;;;complete;2006-12-13 00:00:00+01:00;;;A1516;11.0;;;;; fine; send;, complete;;, nan;
146;;;;Insert Fine Notification;;;complete;2006-12-30 00:00:00+01:00;;;A1516;;P;P;;; fine notification; insert;, complete;;, nan;
147;;0;NIL;Appeal to Judge;;;complete;2007-01-05 00:00:00+01:00;;;A1516;;;;;0.0;; appeal;, complete;;, 0; judge
148;71.5;;;Add penalty;;;complete;2007-02-28 00:00:00+01:00;;;A1516;;;;;; penalty; add;, complete;;, nan;
149;;;;Send for Credit Collection;;;complete;2009-03-30 00:00:00+02:00;;;A1516;;;;;; for credit collection; send;, complete;;, nan;
150;22.0;550;NIL;Create Fine;A;0.0;complete;2007-08-01 00:00:00+02:00;7.0;0.0;A15202;;;;;; fine; create;, complete;;, 550;
151;;;;Send Fine;;;complete;2007-12-10 00:00:00+01:00;;;A15202;26.0;;;;; fine; send;, complete;;, nan;
152;;;;Insert Fine Notification;;;complete;2007-12-27 00:00:00+01:00;;;A15202;;P;P;;; fine notification; insert;, complete;;, nan;
153;;;;Insert Date Appeal to Prefecture;;;complete;2008-01-07 00:00:00+01:00;;;A15202;;;;;; date appeal; insert;, complete;;, nan; prefecture
154;;;NIL;Send Appeal to Prefecture;;;complete;2008-02-08 00:00:00+01:00;;;A15202;;;;;; appeal; send;, complete;;, nan; prefecture
155;44.0;;;Add penalty;;;complete;2008-02-25 00:00:00+01:00;;;A15202;;;;;; penalty; add;, complete;;, nan;
156;;;;Receive Result Appeal from Prefecture;;;complete;2008-02-29 00:00:00+01:00;;;A15202;;;;;; result appeal; receive;, complete; prefecture;, nan;
157;;;;Notify Result Appeal to Offender;;;complete;2008-03-12 00:00:00+01:00;;;A15202;;;;;; result appeal; notify;, complete;;, nan; offender
158;;;;Payment;;70.0;complete;2008-04-04 00:00:00+02:00;;;A15202;;;;70.0;;; payment;, complete;;, nan;
159;35.0;561;NIL;Create Fine;A;0.0;complete;2006-08-11 00:00:00+02:00;157.0;0.0;A1582;;;;;; fine; create;, complete;;, 561;
160;;;;Send Fine;;;complete;2006-12-13 00:00:00+01:00;;;A1582;22.0;;;;; fine; send;, complete;;, nan;
161;;;;Insert Fine Notification;;;complete;2007-01-02 00:00:00+01:00;;;A1582;;P;P;;; fine notification; insert;, complete;;, nan;
162;;;;Insert Date Appeal to Prefecture;;;complete;2007-01-17 00:00:00+01:00;;;A1582;;;;;; date appeal; insert;, complete;;, nan; prefecture
163;71.5;;;Add penalty;;;complete;2007-03-03 00:00:00+01:00;;;A1582;;;;;; penalty; add;, complete;;, nan;
164;;;;Receive Result Appeal from Prefecture;;;complete;2007-03-19 00:00:00+01:00;;;A1582;;;;;; result appeal; receive;, complete; prefecture;, nan;
165;;;;Notify Result Appeal to Offender;;;complete;2007-04-11 00:00:00+02:00;;;A1582;;;;;; result appeal; notify;, complete;;, nan; offender
166;;0;G;Appeal to Judge;;;complete;2007-04-24 00:00:00+02:00;;;A1582;;;;;0.0;; appeal;, complete;;, 0; judge
167;36.0;537;NIL;Create Fine;A;0.0;complete;2007-09-08 00:00:00+02:00;157.0;0.0;A15866;;;;;; fine; create;, complete;;, 537;
168;;;;Send Fine;;;complete;2007-12-27 00:00:00+01:00;;;A15866;26.0;;;;; fine; send;, complete;;, nan;
169;;;;Insert Fine Notification;;;complete;2008-01-08 00:00:00+01:00;;;A15866;;P;P;;; fine notification; insert;, complete;;, nan;
170;;;;Insert Date Appeal to Prefecture;;;complete;2008-01-15 00:00:00+01:00;;;A15866;;;;;; date appeal; insert;, complete;;, nan; prefecture
171;;;NIL;Send Appeal to Prefecture;;;complete;2008-02-20 00:00:00+01:00;;;A15866;;;;;; appeal; send;, complete;;, nan; prefecture
172;;;;Receive Result Appeal from Prefecture;;;complete;2008-02-27 00:00:00+01:00;;;A15866;;;;;; result appeal; receive;, complete; prefecture;, nan;
173;;;;Notify Result Appeal to Offender;;;complete;2008-03-05 00:00:00+01:00;;;A15866;;;;;; result appeal; notify;, complete;;, nan; offender
174;74.0;;;Add penalty;;;complete;2008-03-08 00:00:00+01:00;;;A15866;;;;;; penalty; add;, complete;;, nan;
175;;;;Payment;;98.0;complete;2008-03-26 00:00:00+01:00;;;A15866;;;;98.0;;; payment;, complete;;, nan;
176;36.0;537;NIL;Create Fine;A;0.0;complete;2007-09-10 00:00:00+02:00;157.0;0.0;A15873;;;;;; fine; create;, complete;;, 537;
177;;;;Send Fine;;;complete;2007-12-27 00:00:00+01:00;;;A15873;26.0;;;;; fine; send;, complete;;, nan;
178;;;;Insert Fine Notification;;;complete;2008-01-05 00:00:00+01:00;;;A15873;;P;P;;; fine notification; insert;, complete;;, nan;
179;;;;Insert Date Appeal to Prefecture;;;complete;2008-03-04 00:00:00+01:00;;;A15873;;;;;; date appeal; insert;, complete;;, nan; prefecture
180;74.0;;;Add penalty;;;complete;2008-03-05 00:00:00+01:00;;;A15873;;;;;; penalty; add;, complete;;, nan;
181;;;NIL;Send Appeal to Prefecture;;;complete;2008-04-08 00:00:00+02:00;;;A15873;;;;;; appeal; send;, complete;;, nan; prefecture
182;;;;Receive Result Appeal from Prefecture;;;complete;2008-06-11 00:00:00+02:00;;;A15873;;;;;; result appeal; receive;, complete; prefecture;, nan;
183;;;;Notify Result Appeal to Offender;;;complete;2008-06-16 00:00:00+02:00;;;A15873;;;;;; result appeal; notify;, complete;;, nan; offender
184;;;;Send for Credit Collection;;;complete;2010-10-15 00:00:00+02:00;;;A15873;;;;;; for credit collection; send;, complete;;, nan;
185;36.0;550;NIL;Create Fine;A;0.0;complete;2007-10-15 00:00:00+02:00;157.0;0.0;A16141;;;;;; fine; create;, complete;;, 550;
186;;;;Send Fine;;;complete;2008-01-18 00:00:00+01:00;;;A16141;26.0;;;;; fine; send;, complete;;, nan;
187;;;;Insert Fine Notification;;;complete;2008-01-30 00:00:00+01:00;;;A16141;;P;P;;; fine notification; insert;, complete;;, nan;
188;74.0;;;Add penalty;;;complete;2008-03-30 00:00:00+01:00;;;A16141;;;;;; penalty; add;, complete;;, nan;
189;;;;Insert Date Appeal to Prefecture;;;complete;2008-07-15 00:00:00+02:00;;;A16141;;;;;; date appeal; insert;, complete;;, nan; prefecture
190;;;#;Send Appeal to Prefecture;;;complete;2008-09-01 00:00:00+02:00;;;A16141;;;;;; appeal; send;, complete;;, nan; prefecture
191;;;;Receive Result Appeal from Prefecture;;;complete;2008-09-11 00:00:00+02:00;;;A16141;;;;;; result appeal; receive;, complete; prefecture;, nan;
192;;;;Notify Result Appeal to Offender;;;complete;2008-09-17 00:00:00+02:00;;;A16141;;;;;; result appeal; notify;, complete;;, nan; offender
193;;0;NIL;Appeal to Judge;;;complete;2008-10-02 00:00:00+02:00;;;A16141;;;;;0.0;; appeal;, complete;;, 0; judge
194;36.0;562;NIL;Create Fine;A;0.0;complete;2007-07-08 00:00:00+02:00;157.0;0.0;A16980;;;;;; fine; create;, complete;;, 562;
195;;;;Send Fine;;;complete;2007-09-13 00:00:00+02:00;;;A16980;13.0;;;;; fine; send;, complete;;, nan;
196;;;;Insert Date Appeal to Prefecture;;;complete;2008-08-06 00:00:00+02:00;;;A16980;;;;;; date appeal; insert;, complete;;, nan; prefecture
197;;;NIL;Send Appeal to Prefecture;;;complete;2008-12-15 00:00:00+01:00;;;A16980;;;;;; appeal; send;, complete;;, nan; prefecture
198;36.0;557;NIL;Create Fine;A;0.0;complete;2007-07-31 00:00:00+02:00;157.0;0.0;A17158;;;;;; fine; create;, complete;;, 557;
199;;;;Send Fine;;;complete;2007-12-10 00:00:00+01:00;;;A17158;13.0;;;;; fine; send;, complete;;, nan;
